Level,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
0,"MemoryProtection.exe",0,100.00,0.00,0.00,0.00,"",
1,"MemoryProtection.Program.Main(string[])",1,100.00,0.00,"129,162.79",5.20,"MemoryProtection.dll",
2,"MemoryProtection.Program.ScryptPerfTest()",1,100.00,0.00,"129,157.59",2.25,"MemoryProtection.dll",
3,"MemoryProtection.MemoryProtection.Cryptography.ScryptProtected.ScryptProtectedCryptoProvider.ComputeHash(class MemoryProtection.MemoryProtection.ProtectedMemory)",20,99.98,0.00,"6,457.15",0.05,"MemoryProtection.dll",
4,"MemoryProtection.MemoryProtection.Cryptography.ScryptProtected.ScryptProtectedCryptoProvider.Digest(class MemoryProtection.MemoryProtection.ProtectedMemory,uint32)",20,99.98,0.00,"6,457.09",0.21,"MemoryProtection.dll",
5,"MemoryProtection.MemoryProtection.Cryptography.ScryptProtected.ScryptHashFunction.Digest(class MemoryProtection.MemoryProtection.ProtectedMemory,class MemoryProtection.MemoryProtection.ProtectedMemory)",20,99.98,0.00,"6,456.77",0.22,"MemoryProtection.dll",
6,"MemoryProtection.MemoryProtection.Cryptography.ScryptProtected.ScryptHashFunction.ROMix(uint8*,int32)",20,99.96,1.75,"6,455.60",113.25,"MemoryProtection.dll",
7,"MemoryProtection.MemoryProtection.Cryptography.ScryptProtected.ScryptHashFunction.BlockMix(uint8*)","2,621,440",96.73,50.17,0.05,0.02,"MemoryProtection.dll",
8,"System.Runtime.CompilerServices.Unsafe.CopyBlock(void*,void*,uint32)","89,128,960",14.55,14.55,0.00,0.00,"System.Runtime.CompilerServices.Unsafe.dll",
8,"System.Runtime.InteropServices.Marshal.AllocHGlobal(int32)","47,185,920",9.03,9.03,0.00,0.00,"System.Runtime.InteropServices.dll",
8,"System.Runtime.InteropServices.Marshal.FreeHGlobal(native int)","47,185,920",8.52,8.52,0.00,0.00,"System.Runtime.InteropServices.dll",
8,"System.IntPtr.op_Explicit(native int)","47,185,920",7.39,7.39,0.00,0.00,"System.Runtime.dll",
8,"System.Runtime.InteropServices.Marshal.Copy(uint8[],int32,native int,int32)","47,185,920",7.07,7.07,0.00,0.00,"System.Runtime.InteropServices.dll",
7,"System.Runtime.CompilerServices.Unsafe.CopyBlock(void*,void*,uint32)","1,310,720",0.69,0.69,0.00,0.00,"System.Runtime.CompilerServices.Unsafe.dll",
7,"MemoryProtection.MarshalExtensions.ZeroFree(native int,int32)",20,0.62,0.53,40.29,34.44,"MemoryProtection.dll",
8,"System.Runtime.InteropServices.Marshal.FreeHGlobal(native int)",20,0.09,0.09,5.85,5.85,"System.Runtime.InteropServices.dll",
7,"MemoryProtection.MemoryProtection.Cryptography.ScryptProtected.ScryptHashFunction.Integerify(uint8*)","1,310,720",0.16,0.16,0.00,0.00,"MemoryProtection.dll",
7,"System.Runtime.InteropServices.Marshal.AllocHGlobal(int32)",20,0.00,0.00,0.01,0.01,"System.Runtime.InteropServices.dll",
7,"System.IntPtr.op_Explicit(native int)",20,0.00,0.00,0.00,0.00,"System.Runtime.dll",
6,"MemoryProtection.MemoryProtection.Cryptography.ScryptProtected.ScryptHashFunction.Pbkdf2HmacSha256(uint8*,int32,uint8*,int32,int64,int32,uint8*)",40,0.01,0.00,0.43,0.01,"MemoryProtection.dll",
7,"MemoryProtection.MemoryProtection.Cryptography.Sha256Protected.Sha256ProtectedCryptoProvider.ComputeHmacUnsafe(uint8*,int32,uint8*,int32,bool)",660,0.01,0.00,0.03,0.01,"MemoryProtection.dll",
